SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6095,'tōn ekbolōn Ōxou tou potamou',58.0,41.04
urn:cite:ptolemy:lonlat.pt_ll_4541,'Saramannē polis',53.86,39.24
urn:cite:ptolemy:lonlat.pt_ll_4542,'Maxēra potamou ekbolai',56.08,39.96
urn:cite:ptolemy:lonlat.pt_ll_4543,'hai pēgai tou potamou',56.56,37.68
urn:cite:ptolemy:lonlat.pt_ll_4544,'Sōkanda potamou ekbolai',56.08,40.32
urn:cite:ptolemy:lonlat.pt_ll_4545,'Ōxou potamou ekbolai',58.0,41.10
urn:cite:ptolemy:lonlat.pt_ll_4546,'Saramannē',53.86,39.24
urn:cite:ptolemy:lonlat.pt_ll_4547,'Baraggē',57.28,40.32
urn:cite:ptolemy:lonlat.pt_ll_4548,'Adrapsa',56.92,39.96
urn:cite:ptolemy:lonlat.pt_ll_4549,'Kasapē',57.64,39.24
urn:cite:ptolemy:lonlat.pt_ll_4550,'Abarbina',55.84,39.00
urn:cite:ptolemy:lonlat.pt_ll_4551,'Sorba',56.56,39.24
urn:cite:ptolemy:lonlat.pt_ll_5585,'Sinaka',43.6,38.64
urn:cite:ptolemy:lonlat.pt_ll_4552,'Amarousa',55.12,38.82
urn:cite:ptolemy:lonlat.pt_ll_4553,'Hurkania mētropolis',57.16,38.88
urn:cite:ptolemy:lonlat.pt_ll_5586,'Sakē',53.86,38.52
urn:cite:ptolemy:lonlat.pt_ll_4554,'Asmourna',56.2,38.52
urn:cite:ptolemy:lonlat.pt_ll_5587,'Maisoka',57.28,38.52
urn:cite:ptolemy:lonlat.pt_ll_4555,'nēsos kat autēn pelagia kaloumenē Talka',54.4,40.32
