SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5956,'peratos',40.72,42.24
urn:cite:ptolemy:lonlat.pt_ll_3672,'Loubion kōmē',40.48,43.80
urn:cite:ptolemy:lonlat.pt_ll_3673,'Aginna',40.0,43.56
urn:cite:ptolemy:lonlat.pt_ll_3674,'Ouasaida',40.72,43.44
urn:cite:ptolemy:lonlat.pt_ll_3675,'Ouarika',40.24,43.20
urn:cite:ptolemy:lonlat.pt_ll_3676,'Soura',40.0,42.72
urn:cite:ptolemy:lonlat.pt_ll_5476,'Artanissa',40.48,43.20
urn:cite:ptolemy:lonlat.pt_ll_3677,'Sourrha',40.0,42.72
urn:cite:ptolemy:lonlat.pt_ll_3678,'Mestlēta',39.76,42.48
urn:cite:ptolemy:lonlat.pt_ll_3679,'Zalissa',40.72,42.24
urn:cite:ptolemy:lonlat.pt_ll_3680,'Armaktika',40.0,42.12
