SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_4952,'Pentapolis',94.0,23.04
urn:cite:ptolemy:lonlat.pt_ll_4953,'Katabēda potamou ekbolai',94.96,22.32
urn:cite:ptolemy:lonlat.pt_ll_4954,'Barakoura emporion',95.8,21.60
urn:cite:ptolemy:lonlat.pt_ll_4955,'Tokosanna potamou ekbolai',96.16,20.52
urn:cite:ptolemy:lonlat.pt_ll_4956,'Sambra polis',96.52,19.98
urn:cite:ptolemy:lonlat.pt_ll_4957,'Sada polis',97.12,18.24
urn:cite:ptolemy:lonlat.pt_ll_4958,'Sadou potamou ekbolai',96.52,19.08
urn:cite:ptolemy:lonlat.pt_ll_4959,'Bērabonna emporion',97.96,17.52
urn:cite:ptolemy:lonlat.pt_ll_4960,'Tēmala potamou ekbolai',99.4,17.28
urn:cite:ptolemy:lonlat.pt_ll_4961,'Tēmala polis',99.4,16.56
urn:cite:ptolemy:lonlat.pt_ll_5624,'to met autēn akrōtērion',99.28,15.84
urn:cite:ptolemy:lonlat.pt_ll_4962,'Sabara polis',100.84,16.20
urn:cite:ptolemy:lonlat.pt_ll_4963,'Bēsugga potamou ekbolai',102.88,16.14
urn:cite:ptolemy:lonlat.pt_ll_4964,'Bēsugga emporion',102.64,16.56
urn:cite:ptolemy:lonlat.pt_ll_4965,'Bērabai polis',102.64,12.36
urn:cite:ptolemy:lonlat.pt_ll_5625,'to met autēn akrōtērion',100.48,13.44
urn:cite:ptolemy:lonlat.pt_ll_4966,'Takōla emporion',101.38,12.96
urn:cite:ptolemy:lonlat.pt_ll_5626,'to met autēn akrōtērion',100.24,12.00
urn:cite:ptolemy:lonlat.pt_ll_4967,'Khrusoana potamou ekbolai',100.48,10.80
urn:cite:ptolemy:lonlat.pt_ll_4968,'Sabana emporion',101.2,12.24
urn:cite:ptolemy:lonlat.pt_ll_4969,'Palandou potamou ekbolai',101.92,11.52
urn:cite:ptolemy:lonlat.pt_ll_4970,'Maleou kōlon akron',103.36,11.52
urn:cite:ptolemy:lonlat.pt_ll_4971,'Attaba potamou ekbolai',104.08,10.80
urn:cite:ptolemy:lonlat.pt_ll_5627,'Kōli polis',104.32,10.08
urn:cite:ptolemy:lonlat.pt_ll_4972,'Perimoula',103.54,11.76
urn:cite:ptolemy:lonlat.pt_ll_4973,'Perimoulikos kolpos',108.04,13.14
urn:cite:ptolemy:lonlat.pt_ll_4974,'Samaradē',103.36,13.56
urn:cite:ptolemy:lonlat.pt_ll_4975,'Pagrasa',104.8,13.56
urn:cite:ptolemy:lonlat.pt_ll_4976,'Sōbanou potamou ekbolai',105.28,13.50
urn:cite:ptolemy:lonlat.pt_ll_4977,'Pithōnobastē emporion',105.76,13.50
urn:cite:ptolemy:lonlat.pt_ll_4978,'Akadra',106.24,13.50
urn:cite:ptolemy:lonlat.pt_ll_4979,'Zabai hē polis',107.44,13.50
urn:cite:ptolemy:lonlat.pt_ll_4980,'Megalou kolpou to kata tēn arkhēn Mega akrōtērion',108.04,13.14
urn:cite:ptolemy:lonlat.pt_ll_5756,'Thagora',106.96,14.40
urn:cite:ptolemy:lonlat.pt_ll_4981,'Balogga mētropolis',106.6,15.12
urn:cite:ptolemy:lonlat.pt_ll_4982,'Throana',106.24,16.20
urn:cite:ptolemy:lonlat.pt_ll_4983,'Doana potamou ekbolai',106.24,17.28
urn:cite:ptolemy:lonlat.pt_ll_4984,'Kortatha mētropolis',106.24,19.08
urn:cite:ptolemy:lonlat.pt_ll_4985,'Sinda polis',106.42,22.08
urn:cite:ptolemy:lonlat.pt_ll_4986,'Pagrasa',106.6,20.52
urn:cite:ptolemy:lonlat.pt_ll_4987,'Dōriou potamou ekbolai',106.96,21.24
urn:cite:ptolemy:lonlat.pt_ll_4988,'Aganagara',107.68,21.84
urn:cite:ptolemy:lonlat.pt_ll_4989,'Sērou potamou ekbolai',109.48,22.56
urn:cite:ptolemy:lonlat.pt_ll_4990,'to pros tous Sinas tou Megalou kolpou horion',110.56,22.56
urn:cite:ptolemy:lonlat.pt_ll_6306,'to te Bēpurrhon',92.56,34.56
urn:cite:ptolemy:lonlat.pt_ll_6307,'kai',96.88,28.80
urn:cite:ptolemy:lonlat.pt_ll_6308,'ho Maiandros',95.44,27.36
urn:cite:ptolemy:lonlat.pt_ll_6309,'kai',101.2,21.60
urn:cite:ptolemy:lonlat.pt_ll_6310,'ta Damassa',102.64,26.64
urn:cite:ptolemy:lonlat.pt_ll_6311,'kai',105.52,33.84
urn:cite:ptolemy:lonlat.pt_ll_6312,'tou Sēmanthinou to dutikon meros',108.4,33.84
