SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5916,'tou Masikutou orous',30.52,36.36
urn:cite:ptolemy:lonlat.pt_ll_5427,'Kalinda',28.72,35.94
urn:cite:ptolemy:lonlat.pt_ll_3268,'Khudai ē Ludai',28.96,35.94
urn:cite:ptolemy:lonlat.pt_ll_3269,'Karua',29.08,35.94
urn:cite:ptolemy:lonlat.pt_ll_3270,'Daidala',29.2,35.94
urn:cite:ptolemy:lonlat.pt_ll_3271,'Telmēssos',29.32,35.88
urn:cite:ptolemy:lonlat.pt_ll_3272,'Khanthou potamou ekbolai',29.44,36.00
urn:cite:ptolemy:lonlat.pt_ll_3273,'hai pēgai tou potamou',29.2,37.20
urn:cite:ptolemy:lonlat.pt_ll_5428,'Patara',29.56,36.00
urn:cite:ptolemy:lonlat.pt_ll_3274,'Antiphellos',29.56,36.24
urn:cite:ptolemy:lonlat.pt_ll_3275,'Andriakē',29.74,36.30
urn:cite:ptolemy:lonlat.pt_ll_3276,'Limurou potamou ekbolai',29.92,36.24
urn:cite:ptolemy:lonlat.pt_ll_3277,'Apirai ē Aperrhai',30.04,36.30
urn:cite:ptolemy:lonlat.pt_ll_3278,'Hiera akra',30.28,36.18
urn:cite:ptolemy:lonlat.pt_ll_3279,'Olumpos',30.4,36.18
urn:cite:ptolemy:lonlat.pt_ll_3280,'Phasēlis',30.52,36.30
urn:cite:ptolemy:lonlat.pt_ll_3281,'tou men Kragou orous',29.2,36.48
urn:cite:ptolemy:lonlat.pt_ll_3282,'Kudna',28.84,36.84
urn:cite:ptolemy:lonlat.pt_ll_3283,'Sumbra',28.96,36.60
urn:cite:ptolemy:lonlat.pt_ll_5429,'Oktapolis',28.78,36.42
urn:cite:ptolemy:lonlat.pt_ll_3284,'Komba',28.84,36.36
urn:cite:ptolemy:lonlat.pt_ll_3285,'Siduma',29.08,36.48
urn:cite:ptolemy:lonlat.pt_ll_3286,'Pinara',29.08,36.30
urn:cite:ptolemy:lonlat.pt_ll_3287,'Araxa',29.08,36.06
urn:cite:ptolemy:lonlat.pt_ll_5917,'Tlō',29.2,36.48
urn:cite:ptolemy:lonlat.pt_ll_3288,'Xanthos',29.38,36.12
urn:cite:ptolemy:lonlat.pt_ll_3289,'Korudalla',29.38,36.60
urn:cite:ptolemy:lonlat.pt_ll_5430,'Sagalassos',29.68,36.66
urn:cite:ptolemy:lonlat.pt_ll_3290,'Rhodia',30.04,36.60
urn:cite:ptolemy:lonlat.pt_ll_3291,'Trebendai',30.04,36.54
urn:cite:ptolemy:lonlat.pt_ll_3292,'Phellos',29.62,36.36
urn:cite:ptolemy:lonlat.pt_ll_3293,'Mura',29.92,36.48
urn:cite:ptolemy:lonlat.pt_ll_3294,'Limura',30.22,36.42
urn:cite:ptolemy:lonlat.pt_ll_3295,'Podalaia',29.2,37.08
urn:cite:ptolemy:lonlat.pt_ll_3296,'Nusa',29.2,36.90
urn:cite:ptolemy:lonlat.pt_ll_3297,'Khōma',29.44,36.96
urn:cite:ptolemy:lonlat.pt_ll_3298,'Konduka',29.68,36.84
urn:cite:ptolemy:lonlat.pt_ll_3299,'Boubōn',29.44,37.20
urn:cite:ptolemy:lonlat.pt_ll_3300,'Oineanda',29.92,37.20
urn:cite:ptolemy:lonlat.pt_ll_3301,'Balboura',29.68,37.08
urn:cite:ptolemy:lonlat.pt_ll_3302,'megistē',29.68,35.46
urn:cite:ptolemy:lonlat.pt_ll_3303,'Dolikhistē',29.74,35.82
urn:cite:ptolemy:lonlat.pt_ll_3304,'Khelidoniai skopeloi',30.28,36.00
