SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6096,'tou pros tē Baktrianē autou tmēmatos',60.16,41.76
urn:cite:ptolemy:lonlat.pt_ll_6097,'tōn Sariphōn orōn',64.48,38.16
urn:cite:ptolemy:lonlat.pt_ll_6098,'ho Margos',61.6,38.16
urn:cite:ptolemy:lonlat.pt_ll_6099,'hē de pros ton Ōxon sunaphē',59.44,41.40
urn:cite:ptolemy:lonlat.pt_ll_4556,'Ariaka',60.16,41.04
urn:cite:ptolemy:lonlat.pt_ll_5588,'Sina',59.8,40.56
urn:cite:ptolemy:lonlat.pt_ll_4557,'Aratha',60.52,40.68
urn:cite:ptolemy:lonlat.pt_ll_4558,'Argadina',58.96,40.08
urn:cite:ptolemy:lonlat.pt_ll_4559,'Iasonion',60.52,39.96
urn:cite:ptolemy:lonlat.pt_ll_5589,'heteros potamos rheōn apo tōn Sariphōn oreōn',60.16,38.16
urn:cite:ptolemy:lonlat.pt_ll_4560,'Rhēa',59.44,39.48
urn:cite:ptolemy:lonlat.pt_ll_4561,'Antiokheia Margianē',62.32,39.12
urn:cite:ptolemy:lonlat.pt_ll_4562,'Gourianē',60.88,38.88
urn:cite:ptolemy:lonlat.pt_ll_4563,'Nisaia ē Nigaia',61.78,38.28
