SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5855,'hupo ton auton mesēmbrinon mekhri peratos',22.9,26.64
urn:cite:ptolemy:lonlat.pt_ll_5856,'Axuliskōmē',23.2,32.58
urn:cite:ptolemy:lonlat.pt_ll_2754,'khersonēsos megalē',23.44,32.88
urn:cite:ptolemy:lonlat.pt_ll_2755,'Phthia limēn',23.56,32.58
urn:cite:ptolemy:lonlat.pt_ll_2756,'Paliouros',23.62,32.58
urn:cite:ptolemy:lonlat.pt_ll_2757,'Batrakhos limēn',23.8,32.58
urn:cite:ptolemy:lonlat.pt_ll_2758,'Petras mikras limēn',23.98,32.58
urn:cite:ptolemy:lonlat.pt_ll_2759,'Antipurgos limēn',24.4,32.58
urn:cite:ptolemy:lonlat.pt_ll_2760,'Skuthranios limēn',24.52,32.52
urn:cite:ptolemy:lonlat.pt_ll_2761,'Kataionion akron',24.7,32.58
urn:cite:ptolemy:lonlat.pt_ll_2762,'Ardanis akra',24.88,32.52
urn:cite:ptolemy:lonlat.pt_ll_2763,'Petras megalēs limēn',25.0,32.52
urn:cite:ptolemy:lonlat.pt_ll_2764,'Panormos limēn',25.12,32.52
urn:cite:ptolemy:lonlat.pt_ll_2765,'katabathmos megas',25.24,32.58
urn:cite:ptolemy:lonlat.pt_ll_2766,'Ainēsisphura limēn',25.6,32.52
urn:cite:ptolemy:lonlat.pt_ll_2767,'Zugris kōmē',25.78,32.52
urn:cite:ptolemy:lonlat.pt_ll_2768,'Khettaia kōmē',25.96,32.52
urn:cite:ptolemy:lonlat.pt_ll_2769,'Zagulis kōmē',26.14,32.52
urn:cite:ptolemy:lonlat.pt_ll_2770,'Selinous limēn',26.32,32.64
urn:cite:ptolemy:lonlat.pt_ll_2771,'Trisarkhou kōmē',26.56,32.46
urn:cite:ptolemy:lonlat.pt_ll_2772,'Apis',26.8,32.46
urn:cite:ptolemy:lonlat.pt_ll_2773,'Paraitonion',27.04,32.52
urn:cite:ptolemy:lonlat.pt_ll_2774,'Puthis akra',27.16,32.52
urn:cite:ptolemy:lonlat.pt_ll_5294,'Graias gonu, limēn',27.28,32.46
urn:cite:ptolemy:lonlat.pt_ll_2775,'Kalliou akron',27.4,32.52
urn:cite:ptolemy:lonlat.pt_ll_2776,'Guzis ē Zugis limēn',27.52,32.46
urn:cite:ptolemy:lonlat.pt_ll_2777,'Leukē aktē',27.64,32.52
urn:cite:ptolemy:lonlat.pt_ll_2778,'Hermaia akra',27.76,32.58
urn:cite:ptolemy:lonlat.pt_ll_2779,'Phoinikous limēn',28.0,32.52
urn:cite:ptolemy:lonlat.pt_ll_2780,'Antiphra ē Antiphrai kōmē',28.24,32.40
urn:cite:ptolemy:lonlat.pt_ll_5295,'Derrhis akra',28.36,32.70
urn:cite:ptolemy:lonlat.pt_ll_2781,'Leukaspis limēn',28.48,32.46
urn:cite:ptolemy:lonlat.pt_ll_2782,'Glaukon akron',28.6,32.52
urn:cite:ptolemy:lonlat.pt_ll_2783,'Kheimō kōmē',28.84,32.46
urn:cite:ptolemy:lonlat.pt_ll_2784,'Plinthinē',29.02,32.40
urn:cite:ptolemy:lonlat.pt_ll_2785,'khersonēsos mikra',29.2,32.46
urn:cite:ptolemy:lonlat.pt_ll_5297,'Aiguptou pasēs mētropolis Alexandreia',29.56,32.40
urn:cite:ptolemy:lonlat.pt_ll_5298,'Menelaitou mētropolis Kanōbos',29.74,32.46
urn:cite:ptolemy:lonlat.pt_ll_5857,'Hērakleōtikon stoma, to kai Kanōbikon',29.8,32.46
urn:cite:ptolemy:lonlat.pt_ll_2786,'Bolbitinon stoma',30.1,32.46
urn:cite:ptolemy:lonlat.pt_ll_2787,'Sebennutikon',30.28,32.46
urn:cite:ptolemy:lonlat.pt_ll_2788,'Pineptimi pseudostomon',30.46,32.46
