SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_5192,'Mega akrōtērion',-5.72,35.28
urn:cite:ptolemy:lonlat.pt_ll_5193,'Gupsara',-5.48,35.10
urn:cite:ptolemy:lonlat.pt_ll_5194,'Siga polis, kolōnia',-5.36,35.04
urn:cite:ptolemy:lonlat.pt_ll_2485,'Siga potamou ekbolai',-5.18,35.04
urn:cite:ptolemy:lonlat.pt_ll_5195,'Assara',-5.0,34.92
urn:cite:ptolemy:lonlat.pt_ll_2486,'Portos magnos',-4.82,34.92
urn:cite:ptolemy:lonlat.pt_ll_5196,'Khulēmathpotamou ekbolai',-4.64,34.56
urn:cite:ptolemy:lonlat.pt_ll_5197,'Bouizakolōnia',-4.4,34.56
urn:cite:ptolemy:lonlat.pt_ll_2487,'Theōn limēn',-4.28,34.38
urn:cite:ptolemy:lonlat.pt_ll_2488,'Arsenaria kolōnia',-4.04,34.44
urn:cite:ptolemy:lonlat.pt_ll_5823,'Kartennou potamou ekbolai',-3.74,34.32
urn:cite:ptolemy:lonlat.pt_ll_5824,'Kartenna',-3.56,34.32
urn:cite:ptolemy:lonlat.pt_ll_2489,'Karēpoula',-3.32,34.32
urn:cite:ptolemy:lonlat.pt_ll_2490,'Karkōmē',-3.08,34.20
urn:cite:ptolemy:lonlat.pt_ll_2491,'Lagnouton',-2.84,34.20
urn:cite:ptolemy:lonlat.pt_ll_2492,'Apollōnos akron',-2.84,34.32
urn:cite:ptolemy:lonlat.pt_ll_2493,'Kastra Germanōn',-2.6,34.26
urn:cite:ptolemy:lonlat.pt_ll_5825,'Kanoukis',-2.36,34.20
urn:cite:ptolemy:lonlat.pt_ll_5826,'Khinaphalpotamou ekbolai',-2.0,34.08
urn:cite:ptolemy:lonlat.pt_ll_2494,'Iōl Kaisareia',-1.76,34.08
urn:cite:ptolemy:lonlat.pt_ll_2495,'Tipasa',-1.4,34.20
urn:cite:ptolemy:lonlat.pt_ll_5198,'Ouia',-1.28,33.84
urn:cite:ptolemy:lonlat.pt_ll_2496,'Ikosion',-1.04,33.84
urn:cite:ptolemy:lonlat.pt_ll_2497,'Sauou potamou ekbolai',-0.92,33.84
urn:cite:ptolemy:lonlat.pt_ll_2498,'Rhoustonion',-0.68,33.66
urn:cite:ptolemy:lonlat.pt_ll_2499,'Rhousikibar',-0.5,33.72
urn:cite:ptolemy:lonlat.pt_ll_5827,'Modougga',-0.2,33.78
urn:cite:ptolemy:lonlat.pt_ll_2500,'Serbētos potamou ekbolai',0.04,33.72
urn:cite:ptolemy:lonlat.pt_ll_2501,'Kissē',0.22,33.72
urn:cite:ptolemy:lonlat.pt_ll_5828,'Addumē',0.4,33.72
urn:cite:ptolemy:lonlat.pt_ll_5829,'Rhousoukkorai',0.58,33.66
urn:cite:ptolemy:lonlat.pt_ll_5830,'Iomnion',0.76,33.66
urn:cite:ptolemy:lonlat.pt_ll_5831,'Rhousoubēsēr',0.94,33.60
urn:cite:ptolemy:lonlat.pt_ll_2502,'Rhousazous',1.12,33.60
urn:cite:ptolemy:lonlat.pt_ll_2503,'Ouabar',1.48,33.48
urn:cite:ptolemy:lonlat.pt_ll_2504,'Saldai kolōnia',1.84,33.48
urn:cite:ptolemy:lonlat.pt_ll_5199,'Nasauapotamou ekbolai',1.96,33.48
urn:cite:ptolemy:lonlat.pt_ll_2505,'Khōbath [ē Khōbat]',2.32,33.36
urn:cite:ptolemy:lonlat.pt_ll_6341,'Sisaros potamou ekbolai',2.56,33.30
urn:cite:ptolemy:lonlat.pt_ll_2506,'Iarsath',2.8,33.18
urn:cite:ptolemy:lonlat.pt_ll_2507,'Audon akron',3.04,33.30
urn:cite:ptolemy:lonlat.pt_ll_2508,'Audou potamou ekbolai',3.16,33.12
urn:cite:ptolemy:lonlat.pt_ll_5200,'Igilgili',3.28,32.94
urn:cite:ptolemy:lonlat.pt_ll_2509,'Goulou potamou ekbolai',3.76,33.00
urn:cite:ptolemy:lonlat.pt_ll_5201,'Asisarath',4.12,32.94
urn:cite:ptolemy:lonlat.pt_ll_2510,'Ampsaga potamou ekbolai',4.9,32.94
urn:cite:ptolemy:lonlat.pt_ll_2511,'hai pēgai tou potamou',5.32,28.80
