SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6048,'Sannina',43.6,41.04
urn:cite:ptolemy:lonlat.pt_ll_6049,'Kambusou potamou ekbolai',44.32,40.86
urn:cite:ptolemy:lonlat.pt_ll_4145,'hai pēgai tou potamou',43.6,39.60
urn:cite:ptolemy:lonlat.pt_ll_4146,'Tazeina',44.8,40.68
urn:cite:ptolemy:lonlat.pt_ll_4147,'Sabaioi Bōmoi',45.4,40.68
urn:cite:ptolemy:lonlat.pt_ll_4148,'Kurou potamou ekbolai',46.12,40.50
urn:cite:ptolemy:lonlat.pt_ll_4149,'hai pēgai tou potamou',45.04,38.52
urn:cite:ptolemy:lonlat.pt_ll_4150,'Kharax',46.96,40.32
urn:cite:ptolemy:lonlat.pt_ll_4151,'Kuropolis',47.56,40.08
urn:cite:ptolemy:lonlat.pt_ll_5530,'mardou potamou ekbolai',48.28,39.96
urn:cite:ptolemy:lonlat.pt_ll_4152,'hai pēgai tou potamou',47.2,37.80
urn:cite:ptolemy:lonlat.pt_ll_4153,'limnēs, kaloumenēs martianēs',45.4,38.40
urn:cite:ptolemy:lonlat.pt_ll_4154,'Amana',49.0,39.36
urn:cite:ptolemy:lonlat.pt_ll_4155,'Akola',49.54,39.06
urn:cite:ptolemy:lonlat.pt_ll_4156,'Stratōnos ē Staōnos potamou ekbolai',51.04,38.88
urn:cite:ptolemy:lonlat.pt_ll_4157,'hai pēgai tou potamou',49.36,37.80
urn:cite:ptolemy:lonlat.pt_ll_4158,'Mandagarsis',52.24,38.88
urn:cite:ptolemy:lonlat.pt_ll_4159,'Kharinda potamou ekbolai',52.96,39.24
urn:cite:ptolemy:lonlat.pt_ll_5531,'to pros tē Hurkania khōra peras',53.68,39.24
urn:cite:ptolemy:lonlat.pt_ll_6050,'peratos',53.68,34.92
urn:cite:ptolemy:lonlat.pt_ll_6051,'kai',58.72,33.84
urn:cite:ptolemy:lonlat.pt_ll_6052,'to diorizon meros',53.68,38.16
urn:cite:ptolemy:lonlat.pt_ll_6053,'ho te Zagros',47.2,37.44
urn:cite:ptolemy:lonlat.pt_ll_6054,'ho Orontēs',49.72,37.44
urn:cite:ptolemy:lonlat.pt_ll_6055,'to Iasonion',51.16,36.00
urn:cite:ptolemy:lonlat.pt_ll_6056,'tou Korōnou to dutikon meros',52.24,37.44
urn:cite:ptolemy:lonlat.pt_ll_6057,'kai',58.72,38.16
urn:cite:ptolemy:lonlat.pt_ll_6058,'hai men tou Zagrou Pulai',46.84,36.72
urn:cite:ptolemy:lonlat.pt_ll_6059,'hai de Kaspiai Pulai',53.68,36.72
urn:cite:ptolemy:lonlat.pt_ll_4160,'Skabina',43.24,40.68
urn:cite:ptolemy:lonlat.pt_ll_4161,'Gabalē',43.6,40.32
urn:cite:ptolemy:lonlat.pt_ll_4162,'Ouka',44.08,40.68
urn:cite:ptolemy:lonlat.pt_ll_4163,'Ouarna',44.32,40.32
urn:cite:ptolemy:lonlat.pt_ll_4164,'Kandus',46.12,40.32
urn:cite:ptolemy:lonlat.pt_ll_4165,'Gabris',43.6,40.08
urn:cite:ptolemy:lonlat.pt_ll_4166,'Sōzoa',43.6,39.72
urn:cite:ptolemy:lonlat.pt_ll_5532,'Tonzarma',44.68,40.14
urn:cite:ptolemy:lonlat.pt_ll_4167,'Azaga',44.5,39.72
urn:cite:ptolemy:lonlat.pt_ll_4168,'Morounda',44.8,39.96
urn:cite:ptolemy:lonlat.pt_ll_4169,'Tigrana',45.76,40.68
urn:cite:ptolemy:lonlat.pt_ll_4170,'Pharambara',44.44,39.84
urn:cite:ptolemy:lonlat.pt_ll_4171,'Takhasara',46.72,39.60
urn:cite:ptolemy:lonlat.pt_ll_5533,'Zalakē',48.1,39.60
urn:cite:ptolemy:lonlat.pt_ll_4172,'Alouaka',44.08,39.24
urn:cite:ptolemy:lonlat.pt_ll_4173,'Gauzania',45.04,39.36
urn:cite:ptolemy:lonlat.pt_ll_4174,'Phazaba',45.4,39.00
urn:cite:ptolemy:lonlat.pt_ll_4175,'Pharaspa',47.56,39.24
urn:cite:ptolemy:lonlat.pt_ll_4176,'Kourna',48.1,39.24
urn:cite:ptolemy:lonlat.pt_ll_4177,'Phanaspa',48.28,38.88
urn:cite:ptolemy:lonlat.pt_ll_4178,'Gabris',46.72,39.12
urn:cite:ptolemy:lonlat.pt_ll_4179,'Nandē',44.8,38.64
urn:cite:ptolemy:lonlat.pt_ll_4180,'Zazaka',47.68,38.52
urn:cite:ptolemy:lonlat.pt_ll_4181,'Saraka',47.38,38.40
urn:cite:ptolemy:lonlat.pt_ll_5534,'Mandagara',49.18,38.52
urn:cite:ptolemy:lonlat.pt_ll_4182,'Aganzaba',50.08,38.52
urn:cite:ptolemy:lonlat.pt_ll_4183,'Galla',50.92,38.34
urn:cite:ptolemy:lonlat.pt_ll_4184,'Orakana',51.52,38.52
urn:cite:ptolemy:lonlat.pt_ll_4185,'Alikadra ē Alidraka',53.08,38.16
urn:cite:ptolemy:lonlat.pt_ll_4186,'Phanaka',52.96,38.52
urn:cite:ptolemy:lonlat.pt_ll_4187,'Nazada',45.76,37.44
urn:cite:ptolemy:lonlat.pt_ll_4188,'Alinza hē kai oros',46.48,37.44
urn:cite:ptolemy:lonlat.pt_ll_4189,'Arsisaka',47.2,37.92
urn:cite:ptolemy:lonlat.pt_ll_6060,'Alisdaka',48.4,37.98
urn:cite:ptolemy:lonlat.pt_ll_4190,'Dariausa',49.0,37.80
urn:cite:ptolemy:lonlat.pt_ll_4191,'Sigkar',49.36,38.04
urn:cite:ptolemy:lonlat.pt_ll_4192,'Batina',50.08,37.92
urn:cite:ptolemy:lonlat.pt_ll_4193,'Ouesaspē',50.56,37.92
urn:cite:ptolemy:lonlat.pt_ll_4194,'Nigouza',50.98,37.44
urn:cite:ptolemy:lonlat.pt_ll_5138,'Sanais',52.24,37.68
urn:cite:ptolemy:lonlat.pt_ll_4195,'Rhazounda',53.2,37.92
urn:cite:ptolemy:lonlat.pt_ll_5535,'Oueneka',53.2,37.44
urn:cite:ptolemy:lonlat.pt_ll_4196,'Bithia',47.56,37.20
urn:cite:ptolemy:lonlat.pt_ll_4197,'Alinza',48.04,37.26
urn:cite:ptolemy:lonlat.pt_ll_4198,'Zaranis',47.92,36.72
urn:cite:ptolemy:lonlat.pt_ll_4199,'Gabēna',48.64,37.08
