SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6006,'peratos',32.26,32.16
urn:cite:ptolemy:lonlat.pt_ll_3946,'Kaisareia Stratōnos',33.7,33.48
urn:cite:ptolemy:lonlat.pt_ll_3947,'Apollōnia',33.52,33.30
urn:cite:ptolemy:lonlat.pt_ll_3948,'Ioppē',33.28,33.18
urn:cite:ptolemy:lonlat.pt_ll_3949,'Iamneitōn limēn',33.22,33.12
urn:cite:ptolemy:lonlat.pt_ll_3950,'Azōtos',32.98,33.00
urn:cite:ptolemy:lonlat.pt_ll_3951,'Gazaiōn limēn',32.92,33.00
urn:cite:ptolemy:lonlat.pt_ll_3952,'Askalōn',32.92,32.88
urn:cite:ptolemy:lonlat.pt_ll_3953,'Anthēdōn',32.68,32.88
urn:cite:ptolemy:lonlat.pt_ll_6007,'to pros tē Asphaltitidi limnē Iordanou potamou meros',34.12,32.52
urn:cite:ptolemy:lonlat.pt_ll_6008,'Sapphourei',34.0,33.54
urn:cite:ptolemy:lonlat.pt_ll_6009,'Kaparkotnei',5.62,33.54
urn:cite:ptolemy:lonlat.pt_ll_3954,'Ioulias',34.3,33.54
urn:cite:ptolemy:lonlat.pt_ll_3955,'Tiberias [limnē]',34.42,33.48
urn:cite:ptolemy:lonlat.pt_ll_3956,'Neapolis',34.12,33.00
urn:cite:ptolemy:lonlat.pt_ll_3957,'Thēna',34.3,32.94
urn:cite:ptolemy:lonlat.pt_ll_3958,'Rhapheia',32.8,32.76
urn:cite:ptolemy:lonlat.pt_ll_3959,'Gaza',32.86,32.94
urn:cite:ptolemy:lonlat.pt_ll_3960,'Iamneia',33.28,33.12
urn:cite:ptolemy:lonlat.pt_ll_3961,'Ludda',33.52,33.12
urn:cite:ptolemy:lonlat.pt_ll_3962,'Antipatris',33.76,33.12
urn:cite:ptolemy:lonlat.pt_ll_3963,'Drousias',33.88,33.06
urn:cite:ptolemy:lonlat.pt_ll_3964,'Sebastē',34.0,33.36
urn:cite:ptolemy:lonlat.pt_ll_5498,'Baitogabrei',33.16,32.76
urn:cite:ptolemy:lonlat.pt_ll_3965,'Sebous ē Bebous',33.04,32.82
urn:cite:ptolemy:lonlat.pt_ll_5499,'Emmaous',33.34,32.94
urn:cite:ptolemy:lonlat.pt_ll_5500,'Gouphna',33.64,32.94
urn:cite:ptolemy:lonlat.pt_ll_5133,'Arkhelais',33.88,32.94
urn:cite:ptolemy:lonlat.pt_ll_3966,'Phasēlis',34.18,32.82
urn:cite:ptolemy:lonlat.pt_ll_5501,'Hiereikous',33.7,32.70
urn:cite:ptolemy:lonlat.pt_ll_3967,'Hierosoluma, hē nun kaloumenē ailia Kapitōlias',33.52,32.88
urn:cite:ptolemy:lonlat.pt_ll_3968,'Thamna',33.7,32.76
urn:cite:ptolemy:lonlat.pt_ll_3969,'Eggadda',33.88,32.58
urn:cite:ptolemy:lonlat.pt_ll_3970,'Bēdōrō',33.88,32.40
urn:cite:ptolemy:lonlat.pt_ll_3971,'Thamarō',33.76,32.40
urn:cite:ptolemy:lonlat.pt_ll_5502,'Kosmos',32.26,32.82
urn:cite:ptolemy:lonlat.pt_ll_3972,'Libuas',34.36,32.70
urn:cite:ptolemy:lonlat.pt_ll_3973,'Kallirrhoē',34.3,32.52
urn:cite:ptolemy:lonlat.pt_ll_3974,'Gazōros',34.6,32.58
urn:cite:ptolemy:lonlat.pt_ll_3975,'Epikairos',34.24,32.46
urn:cite:ptolemy:lonlat.pt_ll_3976,'Berzamma',32.68,32.58
urn:cite:ptolemy:lonlat.pt_ll_3977,'Kaparorsa',33.16,32.58
urn:cite:ptolemy:lonlat.pt_ll_3978,'Gemmarouris',33.4,32.52
urn:cite:ptolemy:lonlat.pt_ll_3979,'Elousa',32.92,32.34
urn:cite:ptolemy:lonlat.pt_ll_3980,'Maps',33.28,32.34
