SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6199,'peratos',72.04,38.16
urn:cite:ptolemy:lonlat.pt_ll_6200,'ho pros tō Kōa sumballōn',68.8,34.92
urn:cite:ptolemy:lonlat.pt_ll_4629,'Parsiana',71.32,37.98
urn:cite:ptolemy:lonlat.pt_ll_4630,'Barzaura',68.08,37.08
urn:cite:ptolemy:lonlat.pt_ll_4631,'Artoarta',69.88,37.08
urn:cite:ptolemy:lonlat.pt_ll_4632,'Baborana',70.96,36.84
urn:cite:ptolemy:lonlat.pt_ll_4633,'Katisa',71.44,37.08
urn:cite:ptolemy:lonlat.pt_ll_4634,'Niphanda',71.68,36.72
urn:cite:ptolemy:lonlat.pt_ll_4635,'Drastoka',69.52,36.36
urn:cite:ptolemy:lonlat.pt_ll_4636,'Gazaka ē Gauzaka',71.32,36.18
urn:cite:ptolemy:lonlat.pt_ll_5599,'Naulibis',70.24,35.64
urn:cite:ptolemy:lonlat.pt_ll_4637,'Parsia',67.72,35.28
urn:cite:ptolemy:lonlat.pt_ll_4638,'Lokharna',70.96,34.56
urn:cite:ptolemy:lonlat.pt_ll_4639,'Daroakana',71.32,34.80
urn:cite:ptolemy:lonlat.pt_ll_4640,'Karoura hē kai Ortospana',70.96,35.28
urn:cite:ptolemy:lonlat.pt_ll_4641,'Tarbakana',68.32,34.32
urn:cite:ptolemy:lonlat.pt_ll_4642,'Bagarda',70.0,34.32
urn:cite:ptolemy:lonlat.pt_ll_4643,'Argouda',71.5,34.20
