SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6076,'tou pros auto peratos',58.72,38.16
urn:cite:ptolemy:lonlat.pt_ll_6077,'peratos',59.08,33.84
urn:cite:ptolemy:lonlat.pt_ll_6078,'tou Parkhoathra orous',58.72,33.84
urn:cite:ptolemy:lonlat.pt_ll_4278,'Ambrōdax',54.04,37.80
urn:cite:ptolemy:lonlat.pt_ll_5548,'Oinounia',54.4,37.92
urn:cite:ptolemy:lonlat.pt_ll_4279,'Karipraka akra',56.02,37.92
urn:cite:ptolemy:lonlat.pt_ll_4280,'Rhoara',56.92,37.62
urn:cite:ptolemy:lonlat.pt_ll_4281,'Souphtha',58.0,37.80
urn:cite:ptolemy:lonlat.pt_ll_4282,'Arakiana',53.86,37.44
urn:cite:ptolemy:lonlat.pt_ll_4283,'Dordomana',53.86,37.20
urn:cite:ptolemy:lonlat.pt_ll_4284,'Hekatompulon Basileion',55.12,37.32
urn:cite:ptolemy:lonlat.pt_ll_4285,'Sindaga',55.24,36.72
urn:cite:ptolemy:lonlat.pt_ll_4286,'Parbara',57.16,36.84
urn:cite:ptolemy:lonlat.pt_ll_5549,'Musia',58.36,37.08
urn:cite:ptolemy:lonlat.pt_ll_4287,'Kharax',53.86,36.48
urn:cite:ptolemy:lonlat.pt_ll_4288,'Apameia',53.86,36.00
urn:cite:ptolemy:lonlat.pt_ll_4289,'Aspa',54.64,34.08
urn:cite:ptolemy:lonlat.pt_ll_4290,'Sēmina',55.12,36.48
urn:cite:ptolemy:lonlat.pt_ll_4291,'Marrhikhē',56.56,36.48
urn:cite:ptolemy:lonlat.pt_ll_4292,'Tastakhē',57.28,36.24
urn:cite:ptolemy:lonlat.pt_ll_4293,'Armiana',58.72,36.12
urn:cite:ptolemy:lonlat.pt_ll_4294,'Khoara',54.58,35.40
urn:cite:ptolemy:lonlat.pt_ll_5550,'Pasakartia',53.86,35.46
urn:cite:ptolemy:lonlat.pt_ll_4295,'Rhouda',54.4,35.28
urn:cite:ptolemy:lonlat.pt_ll_4296,'Simpsimida',55.48,35.76
urn:cite:ptolemy:lonlat.pt_ll_4297,'Artakana',55.12,34.92
urn:cite:ptolemy:lonlat.pt_ll_4298,'Appha',56.56,35.52
urn:cite:ptolemy:lonlat.pt_ll_4299,'Rhagaia',56.8,34.80
