SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_3068,'hieron Artemidos',26.38,41.16
urn:cite:ptolemy:lonlat.pt_ll_3069,'Khalkēdōn',26.38,41.10
urn:cite:ptolemy:lonlat.pt_ll_3070,'Akritas akra',26.68,40.86
urn:cite:ptolemy:lonlat.pt_ll_3071,'Tararion ē Trarion',26.92,40.92
urn:cite:ptolemy:lonlat.pt_ll_5390,'Astakos',27.28,40.92
urn:cite:ptolemy:lonlat.pt_ll_3072,'Olbia',27.04,40.80
urn:cite:ptolemy:lonlat.pt_ll_3073,'Nikomēdeia',27.4,40.68
urn:cite:ptolemy:lonlat.pt_ll_5391,'Poseidion akron',26.68,40.62
urn:cite:ptolemy:lonlat.pt_ll_5392,'Askaniou potamou ekbolai',26.5,40.50
urn:cite:ptolemy:lonlat.pt_ll_3074,'Askania limnē',27.58,40.32
urn:cite:ptolemy:lonlat.pt_ll_3075,'Prousias',27.28,40.38
urn:cite:ptolemy:lonlat.pt_ll_3076,'Daskulion',26.98,40.38
urn:cite:ptolemy:lonlat.pt_ll_5393,'Apameia',26.98,40.26
urn:cite:ptolemy:lonlat.pt_ll_3077,'Rhundakou potamou ekbolai',26.56,40.14
urn:cite:ptolemy:lonlat.pt_ll_3078,'hai pēgai tou potamou',27.04,39.24
urn:cite:ptolemy:lonlat.pt_ll_3079,'Bithunias akra',26.86,41.28
urn:cite:ptolemy:lonlat.pt_ll_3080,'Artakē khōrion',27.04,41.22
urn:cite:ptolemy:lonlat.pt_ll_3081,'Psullidos, tou kai Rhēba, potamou ekbolai',27.22,41.22
urn:cite:ptolemy:lonlat.pt_ll_3082,'Kalpa potamou ekbolai',27.52,41.10
urn:cite:ptolemy:lonlat.pt_ll_5394,'Saggariou potamou ekbolai',27.76,40.86
urn:cite:ptolemy:lonlat.pt_ll_3083,'hē prōtē epistrophē tou potamou',28.12,40.32
urn:cite:ptolemy:lonlat.pt_ll_3084,'hē deutera epistrophē',30.16,40.32
urn:cite:ptolemy:lonlat.pt_ll_3085,'hē tritē epistrophē',28.3,39.60
urn:cite:ptolemy:lonlat.pt_ll_3086,'hai pēgai tou potamou',29.8,39.48
urn:cite:ptolemy:lonlat.pt_ll_5395,'Huppiou potamou ekbolai',28.3,40.50
urn:cite:ptolemy:lonlat.pt_ll_3087,'Elata potamou ekbolai',28.42,41.04
urn:cite:ptolemy:lonlat.pt_ll_3088,'Diospolis',28.3,41.28
urn:cite:ptolemy:lonlat.pt_ll_3089,'Hērakleia Pontou',28.48,41.28
urn:cite:ptolemy:lonlat.pt_ll_3090,'Psulleion',28.84,41.40
urn:cite:ptolemy:lonlat.pt_ll_3091,'tion',29.2,41.40
urn:cite:ptolemy:lonlat.pt_ll_5396,'Partheniou potamou ekbolai',29.38,41.40
urn:cite:ptolemy:lonlat.pt_ll_3092,'hai pēgai tou potamou',31.0,40.56
urn:cite:ptolemy:lonlat.pt_ll_3093,'Amastris',29.44,41.40
urn:cite:ptolemy:lonlat.pt_ll_3094,'Krōmna',29.62,41.46
urn:cite:ptolemy:lonlat.pt_ll_3095,'Kutōron',29.74,41.46
urn:cite:ptolemy:lonlat.pt_ll_5903,'kata tēn apo Rhundakou potamou grammēn mekhri peratos,',29.92,39.78
urn:cite:ptolemy:lonlat.pt_ll_5904,'toutestin',29.92,39.78
urn:cite:ptolemy:lonlat.pt_ll_5905,'to Kutōron',29.92,41.58
urn:cite:ptolemy:lonlat.pt_ll_5906,'to te Orminion',28.96,40.80
urn:cite:ptolemy:lonlat.pt_ll_5907,'ho Musios Olumpos',27.04,39.96
urn:cite:ptolemy:lonlat.pt_ll_3096,'Libussa',27.28,40.50
urn:cite:ptolemy:lonlat.pt_ll_3097,'Eriboia',27.52,40.56
urn:cite:ptolemy:lonlat.pt_ll_3098,'Gallika',27.58,40.62
urn:cite:ptolemy:lonlat.pt_ll_5115,'Pataouion',27.58,40.32
urn:cite:ptolemy:lonlat.pt_ll_5397,'Prousa pros tō Huppiō potamō',28.12,40.74
urn:cite:ptolemy:lonlat.pt_ll_3099,'Dēdakana',28.48,40.56
urn:cite:ptolemy:lonlat.pt_ll_5398,'Prōtomakrai',27.94,40.32
urn:cite:ptolemy:lonlat.pt_ll_5279,'Klaudiopolis hē kai Bithunion',28.72,40.86
urn:cite:ptolemy:lonlat.pt_ll_6338,'Phlauiopolis hē kai Krateia.',29.2,41.04
urn:cite:ptolemy:lonlat.pt_ll_3100,'Timaia',29.08,40.56
urn:cite:ptolemy:lonlat.pt_ll_3101,'Klitai',29.56,41.04
urn:cite:ptolemy:lonlat.pt_ll_3102,'Lataneia',29.62,40.80
urn:cite:ptolemy:lonlat.pt_ll_3103,'Nikaia',27.76,40.50
urn:cite:ptolemy:lonlat.pt_ll_3104,'Kaisareia hē kai Smuraleia ē smurdianē',26.8,40.08
urn:cite:ptolemy:lonlat.pt_ll_3105,'Prousa hē pros Olumpō tō orei',27.04,40.08
urn:cite:ptolemy:lonlat.pt_ll_3106,'Agrilion',27.4,40.08
urn:cite:ptolemy:lonlat.pt_ll_3107,'Dableis',28.24,40.08
urn:cite:ptolemy:lonlat.pt_ll_3108,'Dadastana',28.84,40.14
urn:cite:ptolemy:lonlat.pt_ll_3109,'Ioulioupolis',29.32,40.32
urn:cite:ptolemy:lonlat.pt_ll_5908,'tōn Kuaneōn hē anatolikōtera',26.68,41.34
urn:cite:ptolemy:lonlat.pt_ll_5909,'hē Thunias hē kai Daphnousia nēsos',27.52,41.28
urn:cite:ptolemy:lonlat.pt_ll_5910,'hoi Erithinoi skopeloi',28.12,41.22
