SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_3614,'Paniardis',34.6,48.60
urn:cite:ptolemy:lonlat.pt_ll_3615,'Maroubioupotamou ekbolai',34.96,48.24
urn:cite:ptolemy:lonlat.pt_ll_5747,'Patarouē',34.96,47.88
urn:cite:ptolemy:lonlat.pt_ll_3616,'Rhombitou Megalou potamou ekbolai',35.32,47.52
urn:cite:ptolemy:lonlat.pt_ll_3617,'Theophaniou potamou ekbolai',35.32,47.28
urn:cite:ptolemy:lonlat.pt_ll_3618,'Azara polis',35.32,47.04
urn:cite:ptolemy:lonlat.pt_ll_3619,'Rhombitou Mikrou potamou ekbolai',35.68,46.44
urn:cite:ptolemy:lonlat.pt_ll_3620,'Axabitis Tainia',34.96,46.08
urn:cite:ptolemy:lonlat.pt_ll_3621,'Kurambē ē Turambē',36.16,45.96
urn:cite:ptolemy:lonlat.pt_ll_3622,'Attikitou potamou ekbolai',36.4,45.60
urn:cite:ptolemy:lonlat.pt_ll_3623,'Gerousa polis',36.4,45.36
urn:cite:ptolemy:lonlat.pt_ll_3624,'Psathios potamou ekbolai',36.04,45.18
urn:cite:ptolemy:lonlat.pt_ll_3625,'Matēta',35.68,45.00
urn:cite:ptolemy:lonlat.pt_ll_5467,'Ouardanou potamou ekbolai .',34.96,44.88
urn:cite:ptolemy:lonlat.pt_ll_3626,'Kimmerion akron',34.6,45.00
urn:cite:ptolemy:lonlat.pt_ll_3627,'Apatourgos',33.88,44.82
urn:cite:ptolemy:lonlat.pt_ll_3628,'Akhilleion epi tou stomatos',32.44,45.00
urn:cite:ptolemy:lonlat.pt_ll_3629,'Phanagoria',32.44,44.52
urn:cite:ptolemy:lonlat.pt_ll_3630,'Korokondamē',32.26,44.28
urn:cite:ptolemy:lonlat.pt_ll_3631,'Hermōnassa',32.8,44.28
urn:cite:ptolemy:lonlat.pt_ll_3632,'Sindikos limēn',33.16,44.52
urn:cite:ptolemy:lonlat.pt_ll_3633,'Sinda kōmē',33.52,44.64
urn:cite:ptolemy:lonlat.pt_ll_3634,'Bata limēn',33.88,44.40
urn:cite:ptolemy:lonlat.pt_ll_3635,'Bata kōmē',33.76,44.52
urn:cite:ptolemy:lonlat.pt_ll_3636,'Psukhrou potamou ekbolai',34.0,44.52
urn:cite:ptolemy:lonlat.pt_ll_5130,'Akhaia kōmē',34.24,44.28
urn:cite:ptolemy:lonlat.pt_ll_5468,'Kerketidos kolpos',34.6,44.16
urn:cite:ptolemy:lonlat.pt_ll_3637,'Tazos polis',34.96,44.28
