SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6154,'ta perata',94.0,55.44
urn:cite:ptolemy:lonlat.pt_ll_6155,'kai',101.2,35.28
urn:cite:ptolemy:lonlat.pt_ll_6156,'to te tōn Auxakiōn orōn dutikon meros',93.28,45.36
urn:cite:ptolemy:lonlat.pt_ll_6157,'kai',104.8,48.96
urn:cite:ptolemy:lonlat.pt_ll_6158,'to tōn kaloumenōn Kasiōn dutikon',95.44,39.60
urn:cite:ptolemy:lonlat.pt_ll_6159,'kai',102.64,41.76
urn:cite:ptolemy:lonlat.pt_ll_6160,'to tōn Ēmōdōn homoiōs dutikon',96.16,36.00
urn:cite:ptolemy:lonlat.pt_ll_6161,'kai',104.8,36.00
urn:cite:ptolemy:lonlat.pt_ll_6162,'pēgē tou Oikhardou potamou',96.16,46.80
urn:cite:ptolemy:lonlat.pt_ll_6163,'Auxakia',89.68,45.84
urn:cite:ptolemy:lonlat.pt_ll_6164,'Issēdōn Skuthikē',94.0,45.00
urn:cite:ptolemy:lonlat.pt_ll_6165,'Khaurana',94.0,36.90
urn:cite:ptolemy:lonlat.pt_ll_6166,'Soita',90.4,35.52
