SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6131,'tēs agnōstou gēs',86.8,55.44
urn:cite:ptolemy:lonlat.pt_ll_6132,'Hē d epistrophē tou Rha potamou',47.2,48.96
urn:cite:ptolemy:lonlat.pt_ll_6133,'tas tou Rha potamou ekbolas',49.0,45.24
urn:cite:ptolemy:lonlat.pt_ll_6134,'Rhummou potamou ekbolai',51.52,45.18
urn:cite:ptolemy:lonlat.pt_ll_6135,'Daikos potamou ekbolai',53.68,45.18
urn:cite:ptolemy:lonlat.pt_ll_6136,'Iaxartou potamou ekbolai',55.84,44.64
urn:cite:ptolemy:lonlat.pt_ll_6137,'Iastou potamou ekbolai',58.0,44.16
urn:cite:ptolemy:lonlat.pt_ll_6138,'Polutimētou potamou ekbolai',60.16,42.84
urn:cite:ptolemy:lonlat.pt_ll_6139,'Aspabōta polis',59.44,41.76
urn:cite:ptolemy:lonlat.pt_ll_6140,'ta kaloumena Alana',61.6,52.56
urn:cite:ptolemy:lonlat.pt_ll_6141,'kai',70.96,52.92
urn:cite:ptolemy:lonlat.pt_ll_6142,'ta Rhummika',50.8,48.96
urn:cite:ptolemy:lonlat.pt_ll_6143,'kai',57.28,51.48
urn:cite:ptolemy:lonlat.pt_ll_6144,'to Norosson oros',55.84,48.60
urn:cite:ptolemy:lonlat.pt_ll_6145,'kai',62.32,47.88
urn:cite:ptolemy:lonlat.pt_ll_6146,'ta kaloumena Aspisia orē',65.92,50.04
urn:cite:ptolemy:lonlat.pt_ll_6147,'kai',70.24,47.88
urn:cite:ptolemy:lonlat.pt_ll_6148,'ta kaloumena orē Tapoura',72.4,50.40
urn:cite:ptolemy:lonlat.pt_ll_6149,'kai',76.0,45.36
urn:cite:ptolemy:lonlat.pt_ll_6150,'ta te Suēba orē',73.12,51.84
urn:cite:ptolemy:lonlat.pt_ll_6151,'kai',81.04,54.72
urn:cite:ptolemy:lonlat.pt_ll_6152,'ta kaloumena Anarea orē',79.6,50.40
urn:cite:ptolemy:lonlat.pt_ll_6153,'kai',84.64,46.08
urn:cite:ptolemy:lonlat.pt_ll_4587,'Dauaba',60.88,42.48
