SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6167,'ta perata',115.6,55.44
urn:cite:ptolemy:lonlat.pt_ll_6168,'kai',115.6,35.28
urn:cite:ptolemy:lonlat.pt_ll_6169,'peratos',110.56,35.28
urn:cite:ptolemy:lonlat.pt_ll_6170,'ta te kaloumena Anniba',96.16,53.28
urn:cite:ptolemy:lonlat.pt_ll_6171,'kai',109.12,50.40
urn:cite:ptolemy:lonlat.pt_ll_6172,'tōn Auxakiōn to anatolikon meros',104.8,48.96
urn:cite:ptolemy:lonlat.pt_ll_6173,'ta kaloumena Asmiraia orē',106.24,44.28
urn:cite:ptolemy:lonlat.pt_ll_6174,'kai',111.28,44.28
urn:cite:ptolemy:lonlat.pt_ll_6175,'tōn Kasiōn to anatolikon meros',102.64,41.76
urn:cite:ptolemy:lonlat.pt_ll_6176,'kai',109.12,38.88
urn:cite:ptolemy:lonlat.pt_ll_6177,'to Thagouron oros',108.4,41.04
urn:cite:ptolemy:lonlat.pt_ll_6178,'tōn Ēmōdōn kai Sērikōn kaloumenōn to anatolikon meros',104.8,36.00
urn:cite:ptolemy:lonlat.pt_ll_6179,'to kaloumenon Ottorokorrhas',107.68,36.00
urn:cite:ptolemy:lonlat.pt_ll_6180,'kai',112.72,38.16
urn:cite:ptolemy:lonlat.pt_ll_6181,'hē de pros tois Asmiraiois oresin',111.28,44.28
urn:cite:ptolemy:lonlat.pt_ll_6182,'hē de hōs epi ta Kasia orē ektropē',101.2,45.72
urn:cite:ptolemy:lonlat.pt_ll_6183,'hē de en toutois pēgē',101.92,41.94
urn:cite:ptolemy:lonlat.pt_ll_6184,'ho kaloumenos Bautisos potamos',101.2,41.04
urn:cite:ptolemy:lonlat.pt_ll_6185,'hē de pros tō Ottorokorrha',112.72,38.16
urn:cite:ptolemy:lonlat.pt_ll_6186,'hē de pros ta Ēmōda ektropē',106.96,38.16
urn:cite:ptolemy:lonlat.pt_ll_6187,'hē de en toutois pēgē',101.2,36.72
urn:cite:ptolemy:lonlat.pt_ll_4588,'Damna',98.32,47.04
urn:cite:ptolemy:lonlat.pt_ll_5593,'Piala',101.2,45.84
urn:cite:ptolemy:lonlat.pt_ll_4589,'Asmiraia',108.4,44.64
urn:cite:ptolemy:lonlat.pt_ll_4590,'Throana',111.76,44.40
urn:cite:ptolemy:lonlat.pt_ll_6188,'Issēdōn Sērikē',102.64,42.48
urn:cite:ptolemy:lonlat.pt_ll_6189,'Aspakara',103.0,40.08
urn:cite:ptolemy:lonlat.pt_ll_6190,'Drōsakhē',106.72,40.68
urn:cite:ptolemy:lonlat.pt_ll_4591,'Paliana',103.0,39.60
urn:cite:ptolemy:lonlat.pt_ll_4592,'Abragana',103.72,38.52
urn:cite:ptolemy:lonlat.pt_ll_5594,'Thogara',109.36,38.64
urn:cite:ptolemy:lonlat.pt_ll_4593,'Daxata',111.28,38.52
urn:cite:ptolemy:lonlat.pt_ll_4594,'Orosana',102.64,37.08
urn:cite:ptolemy:lonlat.pt_ll_4595,'Ottorokorrha',104.8,36.90
urn:cite:ptolemy:lonlat.pt_ll_4596,'Solana',107.68,37.08
urn:cite:ptolemy:lonlat.pt_ll_4597,'Sēra mētropolis',113.44,37.86
