SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1559,'Pelōros akra',14.56,37.86
urn:cite:ptolemy:lonlat.pt_ll_1560,'Phalakron akron',14.2,37.80
urn:cite:ptolemy:lonlat.pt_ll_1561,'Mulai',14.08,37.80
urn:cite:ptolemy:lonlat.pt_ll_1562,'Helikōnos potamou ekbolai',13.96,37.74
urn:cite:ptolemy:lonlat.pt_ll_1563,'Tundarion',13.72,37.68
urn:cite:ptolemy:lonlat.pt_ll_1564,'Humēthou potamou ekbolai',13.6,37.68
urn:cite:ptolemy:lonlat.pt_ll_1565,'Agathurnon',13.36,37.62
urn:cite:ptolemy:lonlat.pt_ll_1566,'Alontion',13.24,37.56
urn:cite:ptolemy:lonlat.pt_ll_1567,'Khuda potamou ekbolai',13.18,37.50
urn:cite:ptolemy:lonlat.pt_ll_1568,'Kalakta',13.12,37.38
urn:cite:ptolemy:lonlat.pt_ll_1569,'Alaisa',13.12,37.26
urn:cite:ptolemy:lonlat.pt_ll_1570,'Monalou potamou ekbolai',13.0,37.26
urn:cite:ptolemy:lonlat.pt_ll_1571,'Kephaloidis',12.88,37.20
urn:cite:ptolemy:lonlat.pt_ll_1572,'Himera potamou ekbolai',12.82,36.96
urn:cite:ptolemy:lonlat.pt_ll_1573,'Thermai Himeraiai polis',12.7,36.90
urn:cite:ptolemy:lonlat.pt_ll_1574,'Solous polis',12.64,36.96
urn:cite:ptolemy:lonlat.pt_ll_1575,'Eleutherou potamou ekbolai',12.64,36.78
urn:cite:ptolemy:lonlat.pt_ll_1576,'Panormos',12.64,36.72
urn:cite:ptolemy:lonlat.pt_ll_1577,'Kētaria',12.64,36.54
urn:cite:ptolemy:lonlat.pt_ll_1578,'Batheos potamou ekbolai',12.64,36.48
urn:cite:ptolemy:lonlat.pt_ll_1579,'Drepanon',12.64,36.36
urn:cite:ptolemy:lonlat.pt_ll_5677,'Emporion Segestanōn',12.58,36.36
urn:cite:ptolemy:lonlat.pt_ll_1580,'Aigitharsos akra',12.52,36.18
urn:cite:ptolemy:lonlat.pt_ll_1581,'Lilubaion polis kai akra',12.64,36.00
urn:cite:ptolemy:lonlat.pt_ll_1582,'Akithiou potamou ekbolai',12.76,36.06
urn:cite:ptolemy:lonlat.pt_ll_1583,'Selinountos potamou ekbolai',12.88,36.18
urn:cite:ptolemy:lonlat.pt_ll_1584,'Mazara potamou ekbolai',13.0,36.18
urn:cite:ptolemy:lonlat.pt_ll_1585,'Pintia',13.12,36.24
urn:cite:ptolemy:lonlat.pt_ll_1586,'Sossiou potamou ekbolai',13.24,36.24
urn:cite:ptolemy:lonlat.pt_ll_1587,'Isbourou potamou ekbolai',13.42,36.30
urn:cite:ptolemy:lonlat.pt_ll_1588,'Hērakleia',13.6,36.30
urn:cite:ptolemy:lonlat.pt_ll_1589,'Hupsa potamou ekbolai',13.72,36.30
urn:cite:ptolemy:lonlat.pt_ll_1590,'Akragantinōn emporion',13.96,36.30
urn:cite:ptolemy:lonlat.pt_ll_1591,'Himera pot. ekbolai',14.08,36.24
urn:cite:ptolemy:lonlat.pt_ll_1592,'Hippōrou potamou ekbolai',14.26,36.24
urn:cite:ptolemy:lonlat.pt_ll_1593,'Brouka akra',14.32,36.24
urn:cite:ptolemy:lonlat.pt_ll_1594,'Kaukana limēn',14.44,36.18
urn:cite:ptolemy:lonlat.pt_ll_1595,'Motukanou potamou ekbolai',14.56,36.24
urn:cite:ptolemy:lonlat.pt_ll_1596,'Odusseia akra',14.68,36.18
urn:cite:ptolemy:lonlat.pt_ll_1597,'Pakhunos akra',14.8,36.24
urn:cite:ptolemy:lonlat.pt_ll_1598,'Phoinikous limēn',14.62,36.36
urn:cite:ptolemy:lonlat.pt_ll_1599,'Erineou potamou ekbolai',14.62,36.48
urn:cite:ptolemy:lonlat.pt_ll_1600,'Makron akron',14.68,36.54
urn:cite:ptolemy:lonlat.pt_ll_5166,'Khersonēsos',14.56,36.66
urn:cite:ptolemy:lonlat.pt_ll_1601,'Surakousai kolōnia',14.44,36.72
urn:cite:ptolemy:lonlat.pt_ll_1602,'Alabou potamou ekbolai',14.38,36.96
urn:cite:ptolemy:lonlat.pt_ll_1603,'Tauros akron',14.44,37.08
urn:cite:ptolemy:lonlat.pt_ll_1604,'Pantakiou potamou ekbolai',14.38,37.14
urn:cite:ptolemy:lonlat.pt_ll_1605,'Katanē kolōnia',14.5,37.20
urn:cite:ptolemy:lonlat.pt_ll_1606,'Sumaithou potamou ekbolai',14.44,37.26
urn:cite:ptolemy:lonlat.pt_ll_1607,'Tauromenion kolōnia',14.44,37.32
urn:cite:ptolemy:lonlat.pt_ll_1608,'Argennon akron',14.44,37.56
urn:cite:ptolemy:lonlat.pt_ll_5167,'Messēnē en tō porthmō',14.44,37.80
urn:cite:ptolemy:lonlat.pt_ll_1609,'hē te Aitnē',14.08,37.44
urn:cite:ptolemy:lonlat.pt_ll_1610,'ho Kragas',13.12,36.48
urn:cite:ptolemy:lonlat.pt_ll_1611,'Kapution',13.6,37.62
urn:cite:ptolemy:lonlat.pt_ll_1612,'Abakaina',14.08,37.62
urn:cite:ptolemy:lonlat.pt_ll_1613,'Imikhara',13.72,37.44
urn:cite:ptolemy:lonlat.pt_ll_1614,'Tissa',13.96,37.44
urn:cite:ptolemy:lonlat.pt_ll_1615,'Alēta',13.24,37.32
urn:cite:ptolemy:lonlat.pt_ll_1616,'Kentouripai',13.72,37.32
urn:cite:ptolemy:lonlat.pt_ll_1617,'Dumēthos',13.96,37.32
urn:cite:ptolemy:lonlat.pt_ll_1618,'Aitnai',14.38,37.26
urn:cite:ptolemy:lonlat.pt_ll_1619,'Agourion',13.54,37.20
urn:cite:ptolemy:lonlat.pt_ll_1620,'Herbita',13.12,37.08
urn:cite:ptolemy:lonlat.pt_ll_1621,'Sergention',13.72,37.08
urn:cite:ptolemy:lonlat.pt_ll_5168,'Hudia',13.72,37.08
urn:cite:ptolemy:lonlat.pt_ll_1622,'Leontion',14.08,37.08
urn:cite:ptolemy:lonlat.pt_ll_1623,'Erbēssos',13.24,36.96
urn:cite:ptolemy:lonlat.pt_ll_5678,'Neēton',13.6,37.02
urn:cite:ptolemy:lonlat.pt_ll_1624,'Menai',13.96,37.02
urn:cite:ptolemy:lonlat.pt_ll_1625,'Patiōros',12.88,36.84
urn:cite:ptolemy:lonlat.pt_ll_1626,'Assōros',13.12,36.96
urn:cite:ptolemy:lonlat.pt_ll_1627,'Enna',13.42,36.78
urn:cite:ptolemy:lonlat.pt_ll_1628,'Megara',14.26,36.90
urn:cite:ptolemy:lonlat.pt_ll_1629,'Petra',13.84,36.78
urn:cite:ptolemy:lonlat.pt_ll_1630,'Hubla',13.6,36.72
urn:cite:ptolemy:lonlat.pt_ll_1631,'Egguon',14.08,36.72
urn:cite:ptolemy:lonlat.pt_ll_1632,'Kortuga',13.6,36.60
urn:cite:ptolemy:lonlat.pt_ll_1633,'Makuron',13.84,36.60
urn:cite:ptolemy:lonlat.pt_ll_1634,'Akrai',14.26,36.48
urn:cite:ptolemy:lonlat.pt_ll_1635,'Makella',12.82,36.48
urn:cite:ptolemy:lonlat.pt_ll_1636,'Skhēra',13.0,36.60
urn:cite:ptolemy:lonlat.pt_ll_1637,'Triokala',13.36,36.54
urn:cite:ptolemy:lonlat.pt_ll_1638,'Akragas',13.72,36.48
urn:cite:ptolemy:lonlat.pt_ll_1639,'Motuka',14.38,36.48
urn:cite:ptolemy:lonlat.pt_ll_1640,'Segesta',12.7,36.36
urn:cite:ptolemy:lonlat.pt_ll_1641,'Lēton',13.0,36.24
urn:cite:ptolemy:lonlat.pt_ll_1642,'Entella',13.18,36.36
urn:cite:ptolemy:lonlat.pt_ll_1643,'Ankrina',13.48,36.42
urn:cite:ptolemy:lonlat.pt_ll_1644,'Phintia',13.84,36.36
urn:cite:ptolemy:lonlat.pt_ll_1645,'Gela',14.08,36.36
urn:cite:ptolemy:lonlat.pt_ll_1646,'Kamarina',14.56,36.30
urn:cite:ptolemy:lonlat.pt_ll_1647,'Elōros',14.56,36.36
urn:cite:ptolemy:lonlat.pt_ll_1648,'Ina',14.44,36.30
urn:cite:ptolemy:lonlat.pt_ll_1649,'Helkethion',12.82,36.18
urn:cite:ptolemy:lonlat.pt_ll_1650,'Didumē nēsos',14.08,38.16
urn:cite:ptolemy:lonlat.pt_ll_1651,'Hikesia nēsos',14.32,38.16
urn:cite:ptolemy:lonlat.pt_ll_1652,'Erikōdēs nēsos',13.6,37.98
urn:cite:ptolemy:lonlat.pt_ll_1653,'Phoinikōdēs nēsos',13.72,38.04
urn:cite:ptolemy:lonlat.pt_ll_1654,'Hēphaistou nēsos',13.96,37.86
urn:cite:ptolemy:lonlat.pt_ll_1655,'Lipara nēsos kai polis',14.08,37.98
urn:cite:ptolemy:lonlat.pt_ll_1656,'Euōnumos nēsos',14.2,37.98
urn:cite:ptolemy:lonlat.pt_ll_1657,'Stroggulē nēsos',14.44,37.98
urn:cite:ptolemy:lonlat.pt_ll_1658,'Oustika nēsos kai polis',13.0,37.98
urn:cite:ptolemy:lonlat.pt_ll_5679,'Osteōdēs nēsos',12.1,36.72
urn:cite:ptolemy:lonlat.pt_ll_1659,'Phorbantia nēsos',11.92,36.24
urn:cite:ptolemy:lonlat.pt_ll_1660,'Aigousa nēsos',12.1,36.06
urn:cite:ptolemy:lonlat.pt_ll_1661,'Hiera nēsos',11.92,36.00
urn:cite:ptolemy:lonlat.pt_ll_1662,'Pakōnia nēsos',12.28,35.88
urn:cite:ptolemy:lonlat.pt_ll_1663,'Aiolou nēsos',12.64,38.16
