SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6336,'Aspithra potamou ekbolai',108.4,21.60
urn:cite:ptolemy:lonlat.pt_ll_6337,'hai pēgai tou potamou apo tōn eōthinōn tou Sēmathinou orous merōn',115.6,28.80
urn:cite:ptolemy:lonlat.pt_ll_5035,'Bramma polis',113.44,19.08
urn:cite:ptolemy:lonlat.pt_ll_5036,'Ambastou potamou ekbolai',113.44,17.28
urn:cite:ptolemy:lonlat.pt_ll_5037,'hai pēgai tou potamou',115.24,20.88
urn:cite:ptolemy:lonlat.pt_ll_5038,'Rhabana polis',113.44,16.20
urn:cite:ptolemy:lonlat.pt_ll_5039,'Sainou potamou ekbolai',112.96,14.76
urn:cite:ptolemy:lonlat.pt_ll_5040,'to Notion akron',112.0,13.14
urn:cite:ptolemy:lonlat.pt_ll_5041,'tou Thēriōdous kolpou ho mukhos',112.72,11.52
urn:cite:ptolemy:lonlat.pt_ll_5042,'Saturōn akron',112.0,10.08
urn:cite:ptolemy:lonlat.pt_ll_5176,'Kottiarios potamou ekbolai',113.68,15.12
urn:cite:ptolemy:lonlat.pt_ll_5635,'hai pēgai tou potamou',116.08,11.52
urn:cite:ptolemy:lonlat.pt_ll_5669,'tō Sainō potamō',115.6,10.08
urn:cite:ptolemy:lonlat.pt_ll_5773,'Kattigara, hormos Sinōn',113.44,16.20
urn:cite:ptolemy:lonlat.pt_ll_5043,'Akadra',114.4,25.38
urn:cite:ptolemy:lonlat.pt_ll_5044,'Aspithra',112.0,21.60
urn:cite:ptolemy:lonlat.pt_ll_5045,'Kokkonagara',115.48,11.52
urn:cite:ptolemy:lonlat.pt_ll_5633,'Sarata',116.2,12.96
urn:cite:ptolemy:lonlat.pt_ll_5046,'hē mētropolis Sinai ē Thinai',116.08,12.24
