SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6061,'tōn tou Oroatidos potamou ekbolōn',48.28,32.04
urn:cite:ptolemy:lonlat.pt_ll_6062,'To dutikon stoma tou Tigridos',43.24,31.86
urn:cite:ptolemy:lonlat.pt_ll_6063,'to anatolikon stoma tou Tigridos potamou ekbolōn',43.96,32.40
urn:cite:ptolemy:lonlat.pt_ll_6064,'Kharax Pasinou',44.32,32.40
urn:cite:ptolemy:lonlat.pt_ll_6065,'Mōsaiou potamou ekbolai',45.04,32.16
urn:cite:ptolemy:lonlat.pt_ll_6066,'hai pēgai tou potamou',45.4,33.84
urn:cite:ptolemy:lonlat.pt_ll_6067,'Pēlōdēs kolpos',45.76,32.40
urn:cite:ptolemy:lonlat.pt_ll_6068,'Eulaiou potamou ekbolai',46.84,32.16
urn:cite:ptolemy:lonlat.pt_ll_6069,'hai en tē Sousianē pēgai tou potamou',45.76,35.28
urn:cite:ptolemy:lonlat.pt_ll_6070,'hai en tē Mēdia pēgai tou potamou',47.92,37.44
urn:cite:ptolemy:lonlat.pt_ll_6071,'Tenagos Ammōdes',46.84,32.04
urn:cite:ptolemy:lonlat.pt_ll_6072,'Oroatidos potamou ekbolai',48.28,32.04
urn:cite:ptolemy:lonlat.pt_ll_6073,'hai pēgai tou potamou',49.72,35.04
urn:cite:ptolemy:lonlat.pt_ll_6074,'tous Hērakleous Bōmous',43.6,33.36
urn:cite:ptolemy:lonlat.pt_ll_4224,'Agra',43.96,34.38
urn:cite:ptolemy:lonlat.pt_ll_4225,'Arakka',43.72,33.60
urn:cite:ptolemy:lonlat.pt_ll_4226,'Asia',43.72,32.88
urn:cite:ptolemy:lonlat.pt_ll_4227,'Palinza',46.3,35.64
urn:cite:ptolemy:lonlat.pt_ll_4228,'Sakronē',45.58,35.28
urn:cite:ptolemy:lonlat.pt_ll_4229,'Bergan',46.66,35.10
urn:cite:ptolemy:lonlat.pt_ll_4230,'Sousa',46.48,34.74
urn:cite:ptolemy:lonlat.pt_ll_4231,'Saura',47.2,34.38
urn:cite:ptolemy:lonlat.pt_ll_4232,'Dēra',45.4,34.32
urn:cite:ptolemy:lonlat.pt_ll_4233,'Agarrha',46.24,34.08
urn:cite:ptolemy:lonlat.pt_ll_4234,'Abinna',47.32,33.96
urn:cite:ptolemy:lonlat.pt_ll_4235,'Tareiana',45.04,33.48
urn:cite:ptolemy:lonlat.pt_ll_4236,'Selē',46.48,33.48
urn:cite:ptolemy:lonlat.pt_ll_4237,'Graan',45.04,32.76
urn:cite:ptolemy:lonlat.pt_ll_4238,'Anoukhtha',46.12,32.88
urn:cite:ptolemy:lonlat.pt_ll_4239,'Ourzan',46.96,32.88
urn:cite:ptolemy:lonlat.pt_ll_4240,'Taxiana',46.48,31.14
