SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1736,'Eupatoria polis',29.74,44.40
urn:cite:ptolemy:lonlat.pt_ll_1737,'Dandakē',29.74,44.16
urn:cite:ptolemy:lonlat.pt_ll_1738,'Sumbolōn limēn',29.92,44.10
urn:cite:ptolemy:lonlat.pt_ll_1739,'Parthenion akron',29.68,43.92
urn:cite:ptolemy:lonlat.pt_ll_1740,'Khersonēsos',29.92,43.92
urn:cite:ptolemy:lonlat.pt_ll_1741,'Ktenous limēn',30.1,44.04
urn:cite:ptolemy:lonlat.pt_ll_1742,'Kriou metōpon akron',30.64,43.68
urn:cite:ptolemy:lonlat.pt_ll_1743,'Kharax',30.64,43.80
urn:cite:ptolemy:lonlat.pt_ll_1744,'Lagura',31.0,43.92
urn:cite:ptolemy:lonlat.pt_ll_1745,'Korax akron',31.36,43.92
urn:cite:ptolemy:lonlat.pt_ll_1746,'Istrianou potamou ekbolai',31.48,44.04
urn:cite:ptolemy:lonlat.pt_ll_1747,'Theodosia',31.6,44.16
urn:cite:ptolemy:lonlat.pt_ll_1748,'Numphaion',31.9,44.28
urn:cite:ptolemy:lonlat.pt_ll_1749,'Turiktakē',31.72,44.40
urn:cite:ptolemy:lonlat.pt_ll_1750,'Pantikapaia',32.08,44.58
urn:cite:ptolemy:lonlat.pt_ll_1751,'Murmēkion akron',32.08,45.00
urn:cite:ptolemy:lonlat.pt_ll_1752,'Parthenion',31.9,45.00
urn:cite:ptolemy:lonlat.pt_ll_1753,'Zēnōnos Khersonēsos',31.36,45.18
urn:cite:ptolemy:lonlat.pt_ll_1754,'Hērakleion',30.64,45.00
urn:cite:ptolemy:lonlat.pt_ll_1755,'Taphros',29.68,44.82
urn:cite:ptolemy:lonlat.pt_ll_1756,'Tarōna',30.88,44.82
urn:cite:ptolemy:lonlat.pt_ll_1757,'Postigia',31.36,44.82
urn:cite:ptolemy:lonlat.pt_ll_1758,'Parosta',30.28,44.76
urn:cite:ptolemy:lonlat.pt_ll_1759,'Kimmerion',30.64,44.64
urn:cite:ptolemy:lonlat.pt_ll_1760,'Portakra',30.52,44.40
urn:cite:ptolemy:lonlat.pt_ll_1761,'Boiōn',31.24,44.46
urn:cite:ptolemy:lonlat.pt_ll_1762,'Ilouraton',31.6,44.46
urn:cite:ptolemy:lonlat.pt_ll_1763,'Satarkhē',30.1,44.16
urn:cite:ptolemy:lonlat.pt_ll_1764,'Badation',30.28,44.28
urn:cite:ptolemy:lonlat.pt_ll_1765,'Kutaion',30.82,44.28
urn:cite:ptolemy:lonlat.pt_ll_1766,'Tazos',31.12,44.28
urn:cite:ptolemy:lonlat.pt_ll_1767,'Argōda',30.46,44.10
urn:cite:ptolemy:lonlat.pt_ll_1768,'Tabana',30.88,44.10
