Site,LatLon
Kartēia (Καρτηΐα),36.183163:-5.4103589999999997
Malaka (Μάλακα),36.719658000000003:-4.4201629999999996
Mainoba (Μαίνοβα),36.778640000000003:-4.1006780000000003
Kalpourniana (Καλπουρνιάνα),37.867376:-4.3188420000000001
Kordubē (Κορδύβη),37.884683000000003:-4.7791709999999998
Tarrakōn (Ταρράκων),41.119196000000002:1.2580579999999999
Interamnion (Ἰντεράμνιον),42.5:-5.5
Interamnion Phlaouion (Ἰντεράμνιον Φλαούιον),42.5:-6.5
Interkatia (Ἰντερκατία),41.986339999999998:-5.4050209999999996
Astourika Augousta (Ἀστούρικα Αὐγούστα),42.458776:-6.0635320000000004
Nemetobriga (Νεμετόβριγα),42.339838999999998:-7.2527619999999997
Kaladounon (Καλάδουνον),41.760986000000003:-7.6711980000000004
Tōlēton (Τώλητον),39.856679999999997:-4.0244910000000003
Komplouton (Κόμπλουτον),40.481662:-3.3641350000000001
Karakka (Κάρακκα),40.351027999999999:-3.298619
Laminion (Λαμίνιον),38.899450999999999:-3.0534530000000002
Belsinon (Βέλσινον),43.401915000000002:0.52972200000000003
Alaba (Ἄλαβα),39.128726:-3.088457
Segisa (Σέγισα),38.239102000000003:-1.4187289999999999
Bourdigala (Βουρδίγαλα),44.837204999999997:-0.57653299999999996
Tasta (Τάστα),43.861601:0.102529
Augoustonemeton (Αὐγουστονέμετον),45.778730000000003:3.0857700000000001
Segodounon (Σεγόδουνον),44.350785000000002:2.5741329999999998
Lougdounon kolōnia (Λούγδουνον κολωνία),45.758865999999998:4.8194815000000002
Ingena (Ἴνγενα),48.686506000000001:-1.3583290000000001
Lougdounon mētropolis (Λούγδουνον μητρόπολις),43.026707000000009:0.57131100000000001
Rhouphiniana (Ῥουφινιάνα),49.555028599999993:8.0783287000000001
Augousta Rhaurikōn (Αὐγούστα Ῥαυρικῶν),47.533225999999992:7.7223110000000004
Massalia polis (Μασσαλία πόλις),43.296854000000003:5.3824990000000001
Tauroention (Ταυροέντιον),43.074395000000003:5.8032729999999999
Olbia polis (Ὀλβία πόλις),43.080832999999998:6.1224999999999996
Antipolis (Ἀντίπολις),43.580587000000001:7.1209020000000001
Narbōn kolōnia (Ναρβὼν κολωνία),43.183616499999999:3.004203
Nemauson kolōnia (Νέμαυσον κολωνία),43.83866463076923:4.354989053846154
Arausiōn (Ἀραυσιών),44.138047999999998:4.8073930000000002
Kabelliōn kolōnia (Καβελλιὼν κολωνία),43.829884999999997:5.0341659999999999
Tarouskōn (Ταρουσκών),43.807937000000003:4.6625249999999996
Glanon (Γλανόν),43.773471000000001:4.8328670000000002
Albintimilion (Ἀλβιντιμίλιον),43.789145999999995:7.6257720000000004
Genoua (Γένουα),44.406231500000004:8.9315500000000014
Louna (Λοῦνα),44.063739933333331:10.018635433333335
Graouiskai (Γραουΐσκαι),42.212778:11.710278000000001
Alsion (Ἄλσιον),41.933732200000001:12.102342
Ōstia (Ὠστία),41.751868999999999:12.288090500000001
Antion (Ἄντιον),41.447949999999999:12.628995
Klōstra (Κλῶστρα),41.414937999999999:12.872401
Tarrakinai (Ταρρακῖναι),41.291145188406546:13.254290096001851
Phormiai (Φορμίαι),41.255654999999997:13.601067
Ouoltournon (Οὐόλτουρνον),41.033656999999998:13.941734
Liternon (Λίτερνον),40.921258999999999:14.029821
Koumai (Κοῦμαι),40.848823000000003:14.053997000000001
Misēnoi (Μισηνοί),40.786279:14.084884000000001
Pouteoloi (Πουτέολοι),40.827956999999998:14.121868999999998
Neapolis (Νεάπολις),40.839995000000002:14.25287
Sourrenton (Σούρρεντον),40.624603999999998:14.365805999999999
Salernon (Σάλερνον),40.677987999999999:14.765922
Paiston (Παῖστον),40.420968250000001:15.004985249999999
Lokroi (Λοκροὶ),38.216171000000003:16.228784000000001
Krotōn (Κρότων),39.081572000000001:17.128851999999998
Thourion (Θούριον),39.715622000000003:16.490517000000001
Metapontion (Μεταπόντιον),40.383627249999996:16.825233650000001
Taras (Τάρας),40.476033999999999:17.228553000000002
Brendesion (Βρενδέσιον),40.641136000000003:17.946867000000001
Egnatia (Ἐγνατία),40.888325999999999:17.391887000000001
Barion (Βάριον),41.129221999999999:16.870331
Bouka (Βοῦκα),42.004313000000003:14.996484000000001
Koupra Maritima (Κοῦπρα Μαρίτιμα),43.022546499999997:13.85713
Potentia (Ποτεντία),40.637943999999997:15.801240999999999
Noumana (Νουμάνα),43.511271000000001:13.621420000000001
Sēna Gallika (Σήνα Γάλλικα),43.714978000000002:13.21799
Phanon Phortounai (Φᾶνον Φορτοῦναι),43.844901999999998:13.016921
Pisauron (Πισαῦρον),43.912081000000001:12.91577
Ariminon (Ἀρίμινον),44.058956500000001:12.5631945
Rhaouenna (Ῥαουέννα),44.41938652631579:12.200930157894737
Abdēra (Ἄβδηρα),40.950000000000003:24.983332999999998
Marōneia (Μαρώνεια),40.873750999999999:25.511426
Ainos polis (Αἶνος πόλις),40.724898500000002:26.085729000000001
Stageira (Στάγειρα),40.592218000000003:23.795768999999996
Akanthos (Ἄκανθος),40.399749999999997:23.880112
Siggos (Σίγγος),40.249169999999999:23.721477
Torōnē (Τορώνη),39.977053400000003:23.900812299999998
Thessalonikē (Θεσσαλονίκη),40.630282000000001:22.949569
Iōlkos (Ἰωλκός),39.366304999999997:22.968859999999999
