Province,Label,0,1,2,3,4,5,6,7,8,9,10,11
urn:cite:ptolemy:province.1,'Gallia Narbonensis',23,0,3,4,3,0,16,0,6,5,2,0
urn:cite:ptolemy:province.2,'Hibernia',19,0,1,2,3,0,10,0,7,0,1,0
urn:cite:ptolemy:province.3,'Albion',64,0,4,5,17,0,22,0,9,11,3,0
urn:cite:ptolemy:province.4,'Baetica',23,1,10,13,8,1,21,1,16,7,5,0
urn:cite:ptolemy:province.5,'Tarraconensis',79,4,26,15,45,6,76,4,40,15,20,6
urn:cite:ptolemy:province.6,'Lusitania',14,1,7,2,13,0,10,0,16,1,6,1
urn:cite:ptolemy:province.7,'Aquitania',15,0,0,2,0,0,7,0,4,4,2,0
urn:cite:ptolemy:province.8,'Lugdunensis',8,0,1,6,4,0,5,0,7,4,4,0
urn:cite:ptolemy:province.9,'Belgica',11,0,1,6,4,0,14,0,5,3,6,0
urn:cite:ptolemy:province.10,'Germania',71,0,3,6,10,0,36,0,11,6,0,0
urn:cite:ptolemy:province.11,'Iazyges',4,0,1,1,0,0,1,0,3,0,0,0
urn:cite:ptolemy:province.12,'Raetia and Vindelica',6,0,0,2,3,0,5,0,1,1,5,0
urn:cite:ptolemy:province.13,'Noricum',8,0,1,1,0,0,3,0,4,0,0,0
urn:cite:ptolemy:province.14,'Upper Pannonia',7,0,4,1,4,0,6,0,3,3,1,0
urn:cite:ptolemy:province.15,'Lower Pannonia',14,0,0,1,6,0,10,0,0,1,1,0
urn:cite:ptolemy:province.16,'Illyria and Dalmatia',25,0,5,3,10,0,19,0,11,3,2,0
urn:cite:ptolemy:province.17,'Italia',78,4,13,17,46,1,81,3,42,26,23,6
urn:cite:ptolemy:province.18,'Corsica',9,0,5,6,12,0,14,0,1,3,1,0
urn:cite:ptolemy:province.19,'Sardinia',11,1,4,6,3,0,19,0,8,6,3,2
urn:cite:ptolemy:province.20,'Sarmatia in Europe',36,0,0,0,5,0,27,0,2,2,2,0
urn:cite:ptolemy:province.21,'Sicilia',22,4,4,9,12,4,23,1,14,4,13,1
urn:cite:ptolemy:province.22,'Tauric Chersonnese',11,0,1,3,4,0,4,0,3,5,2,0
urn:cite:ptolemy:province.23,'Dacia',14,0,1,8,4,0,15,0,5,3,2,0
