SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1,'Βόρειον ἄκρον',-6.08,54.00
urn:cite:ptolemy:lonlat.pt_ll_2,'Οὐεννίκνιον ἄκρον',-4.76,54.24
urn:cite:ptolemy:lonlat.pt_ll_3,'Οὐιδούα ποταμοῦ ἐκβολαί',-4.64,54.00
urn:cite:ptolemy:lonlat.pt_ll_4,'Ἀργίτα ποταμοῦ ἐκβολαί',-3.56,54.36
urn:cite:ptolemy:lonlat.pt_ll_5,'Ῥοβόγδιον ἄκρον',-2.24,54.36
urn:cite:ptolemy:lonlat.pt_ll_6,'τὸ Βόρειον ἄκρον',-6.08,54.00
urn:cite:ptolemy:lonlat.pt_ll_7,'Ῥαουίου ποταμοῦ ἐκβολαί',-5.84,53.76
urn:cite:ptolemy:lonlat.pt_ll_8,'Μάγνατα πόλις [ἐπίσημος]',-5.9,53.46
urn:cite:ptolemy:lonlat.pt_ll_9,'Λιβνίου ποταμοῦ ἐκβολαί',-6.44,53.28
urn:cite:ptolemy:lonlat.pt_ll_10,'Αὐσόβα ποταμοῦ ἐκβολαί',-6.44,52.92
urn:cite:ptolemy:lonlat.pt_ll_11,'Σήνου ποταμοῦ ἐκβολαί',-7.16,52.92
urn:cite:ptolemy:lonlat.pt_ll_12,'Δοὺρ ποταμοῦ ἐκβολαί',-7.04,52.32
urn:cite:ptolemy:lonlat.pt_ll_13,'Ἰέρνου ποταμοῦ ἐκβολαί',-8.24,51.84
urn:cite:ptolemy:lonlat.pt_ll_14,'Νότιον ἄκρον',-8.48,51.66
urn:cite:ptolemy:lonlat.pt_ll_15,'Μετὰ τὸ Νότιον ἄκρον, ὅ ἐστιν',-8.48,51.66
urn:cite:ptolemy:lonlat.pt_ll_16,'Δαβρώνα ποταμοῦ ἐκβολαί',-5.9,51.12
urn:cite:ptolemy:lonlat.pt_ll_17,'Βίργου ποταμοῦ ἐκβολαί',-5.0,51.48
urn:cite:ptolemy:lonlat.pt_ll_18,'Ἱερὸν ἄκρον.',-3.92,51.72
urn:cite:ptolemy:lonlat.pt_ll_19,'τὸ Ἱερὸν ἄκρον',-3.92,51.72
urn:cite:ptolemy:lonlat.pt_ll_20,'Μοδόννου ποταμοῦ ἐκβολαί',-4.16,52.32
urn:cite:ptolemy:lonlat.pt_ll_21,'Μαναπία πόλις',-4.28,52.32
urn:cite:ptolemy:lonlat.pt_ll_22,'Ὀβόκα ποταμοῦ ἐκβολαί',-4.52,52.56
urn:cite:ptolemy:lonlat.pt_ll_23,'Ἔβλανα πόλις',-3.92,52.92
urn:cite:ptolemy:lonlat.pt_ll_24,'Βουουίνδα ποταμοῦ ἐκβολαί',-3.44,53.04
urn:cite:ptolemy:lonlat.pt_ll_25,'Ἰσάμνιον [ἄκρον]',-3.2,53.28
urn:cite:ptolemy:lonlat.pt_ll_26,'Οὐινδέριος ποταμοῦ ἐκβολαί',-3.2,53.46
urn:cite:ptolemy:lonlat.pt_ll_27,'Λογία ποταμοῦ ἐκβολαί',-2.96,53.76
urn:cite:ptolemy:lonlat.pt_ll_28,'Ῥηγία',-4.64,53.52
urn:cite:ptolemy:lonlat.pt_ll_29,'Ῥαῖβα',-5.36,53.10
urn:cite:ptolemy:lonlat.pt_ll_30,'Λάβηρος',-4.64,52.74
urn:cite:ptolemy:lonlat.pt_ll_31,'Μακόλικον',-5.72,52.32
urn:cite:ptolemy:lonlat.pt_ll_32,'Ῥηγία ἑτέρα',-6.08,52.92
urn:cite:ptolemy:lonlat.pt_ll_33,'Δοῦνον',-5.0,52.38
urn:cite:ptolemy:lonlat.pt_ll_34,'Ἰουερνίς',-6.08,51.96
urn:cite:ptolemy:lonlat.pt_ll_35,'Αἰβοῦδα',-3.2,54.72
urn:cite:ptolemy:lonlat.pt_ll_5143,'Αἰβοῦδα',-2.72,54.72
urn:cite:ptolemy:lonlat.pt_ll_36,'Ῥικίνα',-1.76,54.72
urn:cite:ptolemy:lonlat.pt_ll_37,'Μαλαῖος',-1.4,55.08
urn:cite:ptolemy:lonlat.pt_ll_38,'Ἐπίδιον',-0.68,54.72
urn:cite:ptolemy:lonlat.pt_ll_39,'Μονάοιδα',-1.28,54.36
urn:cite:ptolemy:lonlat.pt_ll_40,'Μόνα νῆσος',-3.2,51.60
urn:cite:ptolemy:lonlat.pt_ll_41,'Ἄδρου ἔρημος',-3.2,52.92
urn:cite:ptolemy:lonlat.pt_ll_42,'Λίμνου ἔρημος',-3.2,52.56
urn:cite:ptolemy:lonlat.pt_ll_43,'Νοουαντῶν χερσόνησος καὶ ὁμώνυμον ἄκρον',1.12,54.48
urn:cite:ptolemy:lonlat.pt_ll_44,'Ῥεριγόνιος κόλπος',0.76,53.88
urn:cite:ptolemy:lonlat.pt_ll_45,'Οὐινδόγαρα κόλπος',1.36,53.64
urn:cite:ptolemy:lonlat.pt_ll_46,'Κλώτα εἴσχυσις',2.02,52.80
urn:cite:ptolemy:lonlat.pt_ll_47,'Λεμαννόνιος κόλπος',3.28,53.28
